,ID,Name,Frequency,Distribution
0,sm9-99,Jirachi,12,59
1,sm11-71,Mewtwo & Mew-GX,9,59
2,sm10-57,Dedenne-GX,8,59
3,sm115-9,Charizard-GX,3,59
4,sm10-20,Reshiram & Charizard-GX,3,59
5,sm9-97,Incineroar-GX,3,59
6,sm11-160,Naganadel-GX,3,59
7,sm11-72,Espeon & Deoxys-GX,1,20
8,sm11-79,Jirachi-GX,1,20
9,sm10-25,Volcanion,1,20
10,swsh2-19,Eldegoss V,1,20
11,swsh3-104,Crobat V,3,59
12,swsh1-117,Galarian Zigzagoon,1,20
13,sm8-44,Magcargo-GX,2,39
14,sm5-116,Silvally-GX,2,39
15,sm8-98,Sigilyph-GX,1,21
16,swsh1-25,Victini V,1,21
17,sm8-97,Giratina,1,21
